Type,Name,Description,Price,Quantity,Image
Fruits,Apple,Gala,1.99/lb,,https://i5.walmartimages.com/seo/Fresh-Red-Delicious-Apple-Each_7320e63a-de46-4a16-9b8c-526e15219a12_3.e557c1ad9973e1f76f512b34950243a3.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Banana,Organic,0.69/lb,,https://i5.walmartimages.com/seo/Fresh-Banana-Fruit-Each_5939a6fa-a0d6-431c-88c6-b4f21608e4be.f7cd0cc487761d74c69b7731493c1581.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Orange,Naval,0.99/lb,,https://i5.walmartimages.com/seo/Fresh-Orange-Bell-Pepper-Each_eb1893c6-ff33-4a36-ba05-d7fe42b67fbf.830244cad6037e9c0b18c4c237259b5d.jpeg
Fruits,Grapes,Red Seedless,2.49/lb,,https://i5.walmartimages.com/seo/Fresh-Red-Seedless-Grapes-Bag-2-25-lbs-Bag-Est_c78cf78a-bc60-46e3-b8ff-93f6429ac324.f343f4f1450299d85cb7270777d2594a.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Berries,Strawberries,3.99,16 oz,https://i5.walmartimages.com/seo/Cap-n-Crunch-Cereal-Oops-All-Berries-Cereal-16-9-oz_89d8ff41-8dbd-4447-b692-2796ce862477.5775cf4cfa0358086ff356875349d1ef.jpeg
Vegetables,Lettuce,Romaine,1.49/head,,https://i5.walmartimages.com/seo/Fresh-Romaine-Lettuce-Each_568bc3a8-53c9-4344-b002-b28b09199e89.072705a99df32f0628fdeedf05437f74.jpeg
Vegetables,Carrots,Organic,1.29/lb,,https://i5.walmartimages.com/seo/Fresh-Shredded-Carrots-10-oz-Bag_35817df3-4652-4035-9e07-0d073658c7d3.f739e89b28b14d00be573312547a31db.jpeg
Vegetables,Broccoli,Crown,1.99/lb,,https://i5.walmartimages.com/seo/Great-Value-Frozen-Broccoli-Florets-12-oz-Steamable-Bag_c6e47501-d339-4baa-ac33-94518223ff3b.e6736cdc6c8437702d6a2f6db2d243c0.jpeg
Vegetables,Tomatoes,Roma,1.69/lb,,https://i5.walmartimages.com/seo/Fresh-Slicing-Tomato-Each_a1e8e44a-2b82-48ab-9c09-b68420f6954c.04f6e0e87807fc5457f57e3ec0770061.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Vegetables,Potatoes,Russet,2.99,5 lb bag,https://i5.walmartimages.com/seo/Russet-Baking-Potatoes-Whole-Fresh-Each_c638c006-a982-48f7-aa33-6d3a8dc2983c.8fd015937ebfdd46c8fcb6177d0d1b1d.jpeg
Eggs,Eggs,Large,2.49,1 dozen,https://i5.walmartimages.com/seo/Happy-Egg-Co-Organic-Free-Range-Large-Brown-Eggs-12-Count-Dozen_f43760b8-e1af-46e5-9592-268fa93a2991.da907e8e7a9f94e3ada4bb9722c3c170.jpeg
Eggs,Egg Whites,100% Liquid,2.99,16 oz,https://i5.walmartimages.com/asr/b51833a8-bf12-44f2-96f7-1911807c5d6b.cf04279c806dcb242b821a4a313567e7.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Eggs,Egg Substitutes,Cholesterol-Free,4.49,32 oz,https://i5.walmartimages.com/asr/bb5e48f5-e4b0-43a1-b9fd-2aaae8924ccf.ad3a12499bb7583cab0d2de481fde8fc.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Eggs,Eggland's Best,Hard-Cooked,2.99,6 ct,https://i5.walmartimages.com/asr/30e87e5f-117a-45c2-9a5f-8e3ef18a0280.1d50a49f22a4bc102b6f6404489242b3.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Milk,Milk,0.01,3.49,Gallon,https://i5.walmartimages.com/seo/Great-Value-Milk-Whole-Vitamin-D-Gallon-Plastic-Jug_6a7b09b4-f51d-4bea-a01c-85767f1b481a.86876244397d83ce6cdedb030abe6e4a.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Milk,Almond Milk,Original,2.99,64 oz,https://i5.walmartimages.com/seo/Almond-Breeze-Original-Almond-Milk-64-oz-Bottle_77d7a343-9292-4c92-8f78-c92d40e3083c.359ab52b5368fe8b016e06ad69f65f00.jpeg
Milk,Soy Milk,Vanilla,2.49,32 oz,https://i5.walmartimages.com/seo/Great-Value-Original-Soymilk-0-5-gal_0979785e-1314-48a6-8bed-9515d48a7b93.ef751caff6d62769c5dc79790a12421a.jpeg
Milk,Coconut Milk,Unsweetened,3.29,32 oz,https://i5.walmartimages.com/seo/So-Delicious-Dairy-Free-UHT-Unsweetened-Coconut-Milk-1-Quart_723faa63-e27b-402f-ae88-8685b26433c4.dd876c49fc9cb97e07e1d3cdcfbaa906.jpeg
Grains,Bread,Whole Wheat,3.49,24 oz loaf,https://i5.walmartimages.com/seo/Freshness-Guaranteed-Sliced-Italian-Bread-14-oz_c3cffbe2-726d-420c-8e29-ffd0a2c9b009.5b2e8205a193e6cd7b70395aa2764e72.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Grains,Pasta,Spaghetti,1.29,16 oz,https://www.traderjoes.com/content/dam/trjo/products/m20901/75657.png
Grains,Rice,White,3.99,,https://i5.walmartimages.com/seo/Great-Value-Long-Grain-Enriched-Rice-16-oz_b7568cd3-77aa-4fb4-b3d9-e00019a6a1ad.4af3784d9d1cb27e3ec04797e27d6e0b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Grains,Quinoa,Organic,4.99,12 oz,https://i5.walmartimages.com/seo/Great-Value-Organic-White-Quinoa-16-oz_15eda7a4-1b2c-481c-853e-e76ff9bb0f70.720c0525f2ec3bd89db69dc105e2200f.jpeg
Grains,Oats,Old-Fashioned,4.49,42 oz,https://i5.walmartimages.com/seo/Quaker-Oats-100-Whole-Grain-Quick-1-Minute-Net-Wt-42oz-2lb-10oz-1-19kg_d19a3aa9-c323-4328-8e02-a002b0a18dd4.9461181a45d361efd92060ff0135dfe1.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Nuts,Almonds,Raw,9.99,16 oz,https://i5.walmartimages.com/seo/Freshness-Guaranteed-Dark-Chocolate-Almonds-12-5-oz_1573c306-cdf3-40cf-aa63-dda9f2e357de.c8455a34cc3eeb3cc81571594882a535.jpeg
Nuts,Walnuts,Halves & Pieces,6.49,8 oz,https://i5.walmartimages.com/seo/Great-Value-Chopped-Walnuts-4-oz_b33ebdf2-66a3-4c34-9ab2-e6f34e045832.d86f58b727cca5e1888d3cad5c9a4e4e.jpeg
Nuts,Cashews,Roasted & Salted,7.75,10 oz,https://i5.walmartimages.com/seo/Great-Value-Toasted-Coconut-Cashews-8-25-oz_c613e5d4-9c74-47bc-8581-1913cdc767e8.cc64df452c93c6f1e1ce7183fd106d08.jpeg
Nuts,Peanuts,Unsalted,3.99,16 oz,https://i5.walmartimages.com/seo/Great-Value-Dry-Roasted-Salted-with-Sea-Salt-Peanuts-34-5-oz_e42987ab-7388-4329-8729-7ba95adcc3fb.9188ae73715a06a4da075ab223b61fb1.jpeg
Nuts,Pistachios,Roasted & Salted,8.99,12 oz,https://i5.walmartimages.com/seo/Wonderful-Roasted-Salted-Pistachios-24-Oz_4478e514-11b5-41c5-9249-85b7e31b9a2a.9f113b5a6a3e6b1f9c0b8659a5b59b86.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Flour,All-Purpose,2.49,5 lb,https://i5.walmartimages.com/seo/Gold-Medal-Flour-All-Purpose-Flour-Baking-And-Cooking-Ingredient-10-lb_db2aa1a9-07c9-4144-8dcc-c2c3d11d94de.ece0d87ba90818bd3191b03f12a9a3e3.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Sugar,Granulated,2.99,4 lb,https://i5.walmartimages.com/seo/Liquid-I-V-Sugar-Free-Hydration-Multiplier-Electrolyte-Powder-Packet-Drink-Mix-Lemon-Lime-6-Ct_8159bdf4-8fa1-4fbd-a6ae-bb712e5f1164.308e00c9fca699330286fe7e726b39a4.jpeg
Baking Products,Baking Soda,Arm & Hammer,0.99,16 oz,https://i5.walmartimages.com/seo/ARM-HAMMER-Pure-Baking-Soda-For-Baking-Cleaning-Deodorizing-1-lb-Box_0aa9b122-318b-4d48-ad34-812a5fb40d21.0057ac3d1d84e096f2399d2ba320e7da.jpeg
Baking Products,Chocolate Chips,Semi-Sweet,2.79,12 oz,https://i5.walmartimages.com/seo/Nestle-Toll-House-Semi-Sweet-Chocolate-Baking-Chips-Regular-Size-12-oz-Bag_ed61e4e0-7b73-4e86-8494-6a4b10feed92.302393d0437518a80eaf7dbcca1c9ea3.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Vanilla Extract,Pure,3.49,2 oz,https://i5.walmartimages.com/seo/Simply-Organic-Vanilla-Extract-Certified-Organic-4-oz-bottle_66a40f2a-0a68-49a2-80fc-5474075aac1c.307bd0de977b62b188d96515e6f7b1c9.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Salt,Iodized,1.29,26 oz,https://i5.walmartimages.com/asr/e7d443bd-604b-4689-b42c-d2bc9cac182a.f35217d4d4647391fc58298bed933635.jpeg
